" is out of stock!"," není na skladě!"
"404 Page Not Found","404 Stránka nenalezena"
"Account data has successfully been updated","Údaje účtu byly úspěšně aktualizovány"
"Add review","Přidat recenzi"
"Adding a review ...","Adding a review ..."
"Enable order notification","Povolit oznámení o objednávce"
"Are you sure you would like to remove this item from the shopping cart?","Opravdu chcete tuto položku odebrat z nákupního košíku?"
"Checkout","Koupit"
"Compare Products","Porovnání produktů"
"Compare products","Porovnejte produkty"
"Confirm your order","Potvrďte svou objednávku"
"Error refreshing user token. User is not authorized to access the resource","Chyba obnovení uživatelského kupónu. Uživatel nemá oprávnění k přístupu"
"Error with response - bad content-type!","Chyba s odpovědí - špatný typ obsahu!"
"Extension developers would like to thank you for placing an order!","Vývojáři rozšíření by rádi poděkovali za zadání vaší objednávky!"
"Field is required","Pole je povinné"
"Field is required.","Pole je povinné."
"Grand total","Celkový součet"
"Home Page","Domovská stránka"
"In stock!","Skladem!"
"Internal Application error while refreshing the tokens. Please clear the storage and refresh page.","Chyba interní aplikace při aktualizaci kupónů. Vymažte úložiště a stránku aktualizujte."
"Internal validation error. Please check if all required fields are filled in. Please contact us on {email}","Interní chyba ověření. Zkontrolujte, zda jsou vyplněna všechna povinná pole. Kontaktujte nás prosím na {email}"
"Must be greater than 0","Musí být větší než 0"
"My Account","Můj účet"
"Newsletter preferences have successfully been updated","Preference zasílání novinek byly úspěšně aktualizovány"
"No available product variants","Žádné dostupné varianty produktu"
"No products synced for this category. Please come back while online!","V této kategorii nemáte žádné synchronizované produkty. Zkuste prosím znovu až budete online!"
"No such configuration for the product. Please do choose another combination of attributes.","Neexistuje žádná taková konfigurace pro daný výrobek. Vyberte prosím jinou kombinaci vlastností."
"OK","OK"
"Only {maxQuantity} products of this type are available!","Only {maxQuantity} products of this type are available!"
"Out of stock!","Vyprodáno!"
"Out of the stock!","Není skladem!"
"Payment Information","Informace o platbě"
"Please configure custom product options and fix the validation errors","Přizpůsobte vlastní navolené možnosti produktu a opravte chyby ověření"
"Please confirm the order you placed when you were offline","Potvrďte objednávku, kterou jste zadali, když jste byli offline"
"Please fix the validation errors","Opravte chyby ověření"
"Please select the field which You like to sort by","Vyberte pole, dle kterého chcete seřadit"
"Proceed to checkout","Přejděte k nákupu"
"The product has been added to Cart!","Produkt byl přidán do košíku!"
"The product price is unknown and cannot be added to Cart!","Cena produktu není známa, produkt nelze přidat do košíku!"
"The product quantity has been updated!","Množství produktu bylo aktualizováno!"
"Product {productName} has been added to Compare!","Produkt {productName} byl přidán k porovnání!"
"Product {productName} has been added to Wishlist!","Produkt {productName} byl přidán do seznamu přání!"
"Product {productName} has been removed from Compare!","Produkt {productName} byl odstraněn z porovnávání!"
"Product {productName} has been removed from Wishlist!","Produkt {productName} byl odstraněn ze seznamu přání!"
"Registering the account ...","Registrace účtu ..."
"The reset password feature does not work while offline!","Funkce obnovení hesla nefunguje offline!"
"Review","Recenze"
"Reviews","Recenze"
"Shopping cart is empty. Please add some products before entering Checkout","Nákupní košík je prázdný. Prosím přidejte nějaké produkty než přistoupíte k nákupu"
"Some of the ordered products are not available!","Některé z objednaných produktů nejsou k dispozici!"
"Please wait while we check for available stock quantities","Kontrola skladových zásob probíhá, prosím, počkejte, až se zkontroluje množství dostupných zásob"
"Subtotal incl. tax","Mezisoučet vč. daně"
"Summary","Shrnutí",
"The product is out of stock and cannot be added to Cart!","Produkt není na skladě a nelze ho přidat do košíku!"
"The system is not sure about the stock quantity (volatile). Product has been added to Cart for pre-reservation.","Systém si není jistý množstvím zásob (volatilní). Produkt byl přidán do košíku pro předběžnou rezervaci."
"We are sorry, there is no Internet connection. You can still place your order. We will notify you when we are back online if any of your ordered products are out of stock.","Připojení k internetu není k dispozici. Stále si však můžete zboží objednat. Budeme vás informovat v případě, že některý z objednaných produktů není k dispozici, protože to v současnosti nelze zkontrolovat."
"This feature is not implemented yet!","Tato funkce zatím nebyla zavedena!"
"Thumbnail","Thumbnail"
"Type what you are looking for...","Zadejte, co hledáte..."
"Unhandled error, wrong response format!","Neošetřená chyba, nesprávný formát odpovědi!"
"You are logged in!","Jste přihlášeni!"
"You are to pay for this order upon delivery.","Tuto objednávku platíte při doručení."
"You need to be logged in to see this page","Pro zobrazení této stránky musíte být přihlášeni"
"You submitted your review for moderation.","You submitted your review for moderation."
"You're logged out","Jste odhlášeni"
"email","email"
"login","přihlásit se"
"not authorized","neautorizováno"
"password","heslo"
"to account","na účet"
